order,title,source_path,source_blob_sha,approval_status,docx_output,pdf_output,page_count,docx_text_compare,pdf_text_compare,render_preflight,visual_qa,concern,sync_status
01,CATCH YA ON THE FLIPSIDE,chapters/01_CatchYaOnTheFlipSide.md,820e203390a8d7cf48a42346a7dd91e2134aaee1,AUTHOR_APPROVED_FINAL_SOURCE,publication/chapters/01_CATCH_YA_ON_THE_FLIPSIDE.docx,publication/chapters/01_CATCH_YA_ON_THE_FLIPSIDE.pdf,7,STALE,STALE,STALE,SUPERSEDED,Repository publication proof predates author-approved 2026-09-17 source; approved replacement review pair is 6 pages,source-synced-publication-binaries-not-replaced
02,MAGIC TRICK,chapters/02_MagicTrick.md,aefd77356524bb78f37415e6f06d266ce4670af5,CURRENT_REPOSITORY_SOURCE,publication/chapters/02_MAGIC_TRICK.docx,publication/chapters/02_MAGIC_TRICK.pdf,4,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
03,FRESH FOR UNLOCK,chapters/03_FreshForUnlock.md,d3edd896458552174718580c59288349517a9beb,CURRENT_REPOSITORY_SOURCE,publication/chapters/03_FRESH_FOR_UNLOCK.docx,publication/chapters/03_FRESH_FOR_UNLOCK.pdf,6,PASS,PASS,PASS; font=PASS,PASS,PASS_100_PERCENT,source contains additional H1 GENERAL POPULATION; structural status remains for author review,branch-generated-verified
04,FOUR FLIGHTS,chapters/04_FourFlights.md,4ea2dc54de775b58c02e12328eec6b83e797084c,CURRENT_REPOSITORY_SOURCE,publication/chapters/04_FOUR_FLIGHTS.docx,publication/chapters/04_FOUR_FLIGHTS.pdf,7,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
05,STEPS TO FREEDOM,chapters/05_StepsToFreedom.md,40e28b8d8228e0b26d824890850c252037f259e3,CURRENT_REPOSITORY_SOURCE,publication/chapters/05_STEPS_TO_FREEDOM.docx,publication/chapters/05_STEPS_TO_FREEDOM.pdf,9,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
06,STARTING MONDAY,chapters/06_StartingMonday.md,99fdaf010c4a53f83cb8180d4b7b13a08e954f85,CURRENT_REPOSITORY_SOURCE,publication/chapters/06_STARTING_MONDAY.docx,publication/chapters/06_STARTING_MONDAY.pdf,7,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
08,CHICKEN AND MASH,chapters/08_Chicken&Mash.md,614e3b1618ddbec58e86c2a2affd9f286c9cd43c,CURRENT_REPOSITORY_SOURCE,publication/chapters/08_CHICKEN_AND_MASH.docx,publication/chapters/08_CHICKEN_AND_MASH.pdf,4,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
09,EARNING THE RIGHT,chapters/09_EarningTheRight.md,a928d79f922f11a5dd17ff79110a40474c384d5b,CURRENT_REPOSITORY_SOURCE,publication/chapters/09_EARNING_THE_RIGHT.docx,publication/chapters/09_EARNING_THE_RIGHT.pdf,5,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
10,SET UP YOUR STATION,chapters/10_SetUpYourStation.md,4b75fa8f19abfa2d742fd01e783ca960b954e2cc,CURRENT_REPOSITORY_SOURCE,publication/chapters/10_SET_UP_YOUR_STATION.docx,publication/chapters/10_SET_UP_YOUR_STATION.pdf,2,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
11,FAT SAM,chapters/11_FatSam.md,b2c4fb15d0a7757441b985038038ad07289a1148,CURRENT_REPOSITORY_SOURCE,publication/chapters/11_FAT_SAM.docx,publication/chapters/11_FAT_SAM.pdf,4,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
